citation_display,work_type,author,year,title,venue,editor,publisher,vol_issue,pages,url,region,subregion,topic,notes,source_file,source_sheet,id
小野米一（1980）「北海道奥尻島方言の研究」『北海道教育大学紀要 第1部 A 人文科学編』30(2) ,journal,小野米一,1980,北海道奥尻島方言の研究,北海道教育大学紀要 第1部 A 人文科学編,,,30(2),,,,,,,北海道方言.xlsx,北海道方言（雑誌論文）,
小野米一（1987）「移住と言語--北海道方言の場合」『言語生活』429 ,journal,小野米一,1987,移住と言語--北海道方言の場合,言語生活,,,429,,,,,,,北海道方言.xlsx,北海道方言（雑誌論文）,
小野米一（1988）「北海道方言の均一化(地域文化の均質化-2-)」『人類科学』41 ,journal,小野米一,1988,北海道方言の均一化(地域文化の均質化-2-),人類科学,,,41,,,,,,,北海道方言.xlsx,北海道方言（雑誌論文）,
小野米一（1989）「北海道方言の研究について」『言語文化部紀要』16 ,journal,小野米一,1989,北海道方言の研究について,言語文化部紀要,,,16,,,,,,,北海道方言.xlsx,北海道方言（雑誌論文）,
相沢正夫ほか（1990）「北海道における共通語使用意識 : 富良野・札幌言語調査から」『研究報告集』11 ,journal,相沢正夫ほか,1990,北海道における共通語使用意識 : 富良野・札幌言語調査から,研究報告集,,,11,,,,,,,北海道方言.xlsx,北海道方言（雑誌論文）,
小野米一（1991）「北海道増毛町における祝言のあいさつ」『方言資料叢刊』1 ,journal,小野米一,1991,北海道増毛町における祝言のあいさつ,方言資料叢刊,,,1,,,,,,,北海道方言.xlsx,北海道方言（雑誌論文）,
小野米一（1991）「北海道函館市における祝言のあいさつ」『方言資料叢刊』1 ,journal,小野米一,1991,北海道函館市における祝言のあいさつ,方言資料叢刊,,,1,,,,,,,北海道方言.xlsx,北海道方言（雑誌論文）,
小野米一（1992）「アイヌ語話者の日本語北海道方言」『学芸国語国文学』24 ,journal,小野米一,1992,アイヌ語話者の日本語北海道方言,学芸国語国文学,,,24,,,,,,,北海道方言.xlsx,北海道方言（雑誌論文）,
小野米一（1992）「北海道根室市方言における身体感覚を表すオノマトペ」『方言資料叢刊』2 ,journal,小野米一,1992,北海道根室市方言における身体感覚を表すオノマトペ,方言資料叢刊,,,2,,,,,,,北海道方言.xlsx,北海道方言（雑誌論文）,
小野米一（1993）「北海道奥尻島方言の比喩語について」『方言資料叢刊』3 ,journal,小野米一,1993,北海道奥尻島方言の比喩語について,方言資料叢刊,,,3,,,,,,,北海道方言.xlsx,北海道方言（雑誌論文）,
江端義夫（1994）「北海道札幌郡広島町方言のアスペクト」『方言資料叢刊』4 ,journal,江端義夫,1994,北海道札幌郡広島町方言のアスペクト,方言資料叢刊,,,4,,,,,,,北海道方言.xlsx,北海道方言（雑誌論文）,
志村文隆（1994）「北海道道南地方方言における語彙体系の年齢差 : 上磯町・七飯町での調査から」『弘前大学国語国文学』16 ,journal,志村文隆,1994,北海道道南地方方言における語彙体系の年齢差 : 上磯町・七飯町での調査から,弘前大学国語国文学,,,16,,,,,,,北海道方言.xlsx,北海道方言（雑誌論文）,
菅泰雄（1994）「アイヌ語話者の日本語北海道方言談話資料」『北海学園大学人文論集』2 ,journal,菅泰雄,1994,アイヌ語話者の日本語北海道方言談話資料,北海学園大学人文論集,,,2,,,,,,,北海道方言.xlsx,北海道方言（雑誌論文）,
江端義夫（1995）「北海道石狩郡新篠津村方言の否定の表現」『方言資料叢刊』5 ,journal,江端義夫,1995,北海道石狩郡新篠津村方言の否定の表現,方言資料叢刊,,,5,,,,,,,北海道方言.xlsx,北海道方言（雑誌論文）,
江端義夫（1996）「北海道厚田郡厚田村方言の助数詞」『方言資料叢刊』6 ,journal,江端義夫,1996,北海道厚田郡厚田村方言の助数詞,方言資料叢刊,,,6,,,,,,,北海道方言.xlsx,北海道方言（雑誌論文）,
道場優（1997）「北海道石狩郡当別町太美方言の待遇表現」『方言資料叢刊』7 ,journal,道場優,1997,北海道石狩郡当別町太美方言の待遇表現,方言資料叢刊,,,7,,,,,,,北海道方言.xlsx,北海道方言（雑誌論文）,
小野米一（1999）「北海道地方の地域方言と社会方言」『日本語学』18(13) ,journal,小野米一,1999,北海道地方の地域方言と社会方言,日本語学,,,18(13),,,,,,,北海道方言.xlsx,北海道方言（雑誌論文）,
夏井邦男（2000）「北海道方言語彙の歴史的研究--「うたて」とその派生語」『国語研究』63 ,journal,夏井邦男,2000,北海道方言語彙の歴史的研究--「うたて」とその派生語,国語研究,,,63,,,,,,,北海道方言.xlsx,北海道方言（雑誌論文）,
道場優（2000）「北海道札幌市北区篠路町上篠路方言の副助詞」『方言資料叢刊』8 ,journal,道場優,2000,北海道札幌市北区篠路町上篠路方言の副助詞,方言資料叢刊,,,8,,,,,,,北海道方言.xlsx,北海道方言（雑誌論文）,
高野照司（2002）「北海道方言話者の日常会話における韻律強調のヴァリエーション研究 : 否定辞「-ない」の場合」『音声研究』6(3) ,journal,高野照司,2002,北海道方言話者の日常会話における韻律強調のヴァリエーション研究 : 否定辞「-ない」の場合,音声研究,,,6(3),,,,,,,北海道方言.xlsx,北海道方言（雑誌論文）,
夏井邦男（2002）「北海道方言の語誌的研究から--「アズマシクナイ」ということば」『語学文学』40 ,journal,夏井邦男,2002,北海道方言の語誌的研究から--「アズマシクナイ」ということば,語学文学,,,40,,,,,,,北海道方言.xlsx,北海道方言（雑誌論文）,
夏井邦男（2003）「北海道方言語彙の歴史的研究--「メンコイ」とその周辺」『国語研究』66 ,journal,夏井邦男,2003,北海道方言語彙の歴史的研究--「メンコイ」とその周辺,国語研究,,,66,,,,,,,北海道方言.xlsx,北海道方言（雑誌論文）,
小野米一（2005）「書評 夏井邦男著『北海道方言の歴史的研究』」『國學院雑誌』106(6) ,journal,小野米一,2005,書評 夏井邦男著『北海道方言の歴史的研究』,國學院雑誌,,,106(6),,,,,,,北海道方言.xlsx,北海道方言（雑誌論文）,
"円山拓子（2007）「自発と可能の対照研究--日本語ラレル,北海道方言ラサル,韓国語cita」『日本語文法』7(1) ",journal,円山拓子,2007,"自発と可能の対照研究--日本語ラレル,北海道方言ラサル,韓国語cita",日本語文法,,,7(1),,,,,,,北海道方言.xlsx,北海道方言（雑誌論文）,
福島智美（2007）「北海道内陸部方言における助動詞ラサルの動態」『和漢語文研究』5 ,journal,福島智美,2007,北海道内陸部方言における助動詞ラサルの動態,和漢語文研究,,,5,,,,,,,北海道方言.xlsx,北海道方言（雑誌論文）,
島田武（2009）「旧椴法華村における言語と風習の調査について」『北海道言語文化研究』7 ,journal,島田武,2009,旧椴法華村における言語と風習の調査について,北海道言語文化研究,,,7,,,椴法華,椴法華,,,北海道方言.xlsx,北海道方言（雑誌論文）,
見野久幸（2010）「北海道方言の地理的勢力分布と動態・伝播の諸相」『日本方言研究会研究発表会発表原稿集』90 ,journal,見野久幸,2010,北海道方言の地理的勢力分布と動態・伝播の諸相,日本方言研究会研究発表会発表原稿集,,,90,,,,,,,北海道方言.xlsx,北海道方言（雑誌論文）,
竹本拓也（2010）「北海道帯広市方言のアクセント」『方言・音声研究』4 ,journal,竹本拓也,2010,北海道帯広市方言のアクセント,方言・音声研究,,,4,,,,,,,北海道方言.xlsx,北海道方言（雑誌論文）,
高野照司（2011）「札幌方言名詞アクセントの実時間研究 : 山鼻地区パネル調査 第一次報告」『北海道方言研究会会報』88 ,journal,高野照司,2011,札幌方言名詞アクセントの実時間研究 : 山鼻地区パネル調査 第一次報告,北海道方言研究会会報,,,88,,,,,,,北海道方言.xlsx,北海道方言（雑誌論文）,
池添博彦（2011）「北海道語について (II):十勝の方言を中心にして」『帯広大谷短期大学紀要』48 ,journal,池添博彦,2011,北海道語について (II):十勝の方言を中心にして,帯広大谷短期大学紀要,,,48,,,,,,,北海道方言.xlsx,北海道方言（雑誌論文）,
島田武ほか（2013）「椴法華方言における｢リ｣の具現について : ｢リ｣と｢ル｣の区別の消失と残存 (特集 椴法華の方言調査)」『北海道言語文化研究』11 ,journal,島田武ほか,2013,椴法華方言における｢リ｣の具現について : ｢リ｣と｢ル｣の区別の消失と残存 (特集 椴法華の方言調査),北海道言語文化研究,,,11,,,椴法華,椴法華,,,北海道方言.xlsx,北海道方言（雑誌論文）,
塩谷亨（2013）「椴法華方言話者の格表示マーカーの使用について」『北海道言語文化研究』11 ,journal,塩谷亨,2013,椴法華方言話者の格表示マーカーの使用について,北海道言語文化研究,,,11,,,,,,,北海道方言.xlsx,北海道方言（雑誌論文）,
高野照司（2013）「北海道方言の共通語化・新方言の半世紀後の様相 : 実時間トレンド調査から読みとる変化のプロセスと変異の現況」『北星学園大学文学部北星論集』51(1) ,journal,高野照司,2013,北海道方言の共通語化・新方言の半世紀後の様相 : 実時間トレンド調査から読みとる変化のプロセスと変異の現況,北星学園大学文学部北星論集,,,51(1),,,,,,,北海道方言.xlsx,北海道方言（雑誌論文）,
ダリン・トーマス（2014）「北海道道南方言における句頭音調の分布について(第330回研究例会発表要旨)」『音声研究』18(3) ,journal,ダリン・トーマス,2014,北海道道南方言における句頭音調の分布について(第330回研究例会発表要旨),音声研究,,,18(3),,,,,,,北海道方言.xlsx,北海道方言（雑誌論文）,
橋本邦彦（2014）「椴法華村における「風」及び「潮」・「波」に関連した方言語彙について (特集 渡島半島東岸部の漁業関連方言語彙調査)」『北海道言語文化研究』12 ,journal,橋本邦彦,2014,椴法華村における「風」及び「潮」・「波」に関連した方言語彙について (特集 渡島半島東岸部の漁業関連方言語彙調査),北海道言語文化研究,,,12,,,,,,,北海道方言.xlsx,北海道方言（雑誌論文）,
島田武（2014）「椴法華方言における「潮」、「塩」の発音について : 個人語のレベルでの一事例」『北海道言語文化研究』12 ,journal,島田武,2014,椴法華方言における「潮」、「塩」の発音について : 個人語のレベルでの一事例,北海道言語文化研究,,,12,,,椴法華,椴法華,,,北海道方言.xlsx,北海道方言（雑誌論文）,
塩谷亨（2014）「道南方言とハワイ語における水産物語彙について」『北海道言語文化研究』12 ,journal,塩谷亨,2014,道南方言とハワイ語における水産物語彙について,北海道言語文化研究,,,12,,,,,,,北海道方言.xlsx,北海道方言（雑誌論文）,
佐々木冠（2015）「逆使役化に関する再帰分析の非普遍性 : 北海道方言による検証」『札幌学院大学総合研究所紀要』2 ,journal,佐々木冠,2015,逆使役化に関する再帰分析の非普遍性 : 北海道方言による検証,札幌学院大学総合研究所紀要,,,2,,,,,,,北海道方言.xlsx,北海道方言（雑誌論文）,
田中美海（2015）「北海道方言「～さる」の使用条件(二〇一四年度卒業論文要旨集)」『札幌国語研究』20 ,journal,田中美海,2015,北海道方言「～さる」の使用条件(二〇一四年度卒業論文要旨集),札幌国語研究,,,20,,,,,,,北海道方言.xlsx,北海道方言（雑誌論文）,
ダリン・トーマス（2015）「北海道方言の韻律的な特徴に関する記述的研究 : 北海道方言の名詞アクセントについて」『北海道大学大学院文学研究科研究論集』15 ,journal,ダリン・トーマス,2015,北海道方言の韻律的な特徴に関する記述的研究 : 北海道方言の名詞アクセントについて,北海道大学大学院文学研究科研究論集,,,15,,,,,,,北海道方言.xlsx,北海道方言（雑誌論文）,
井上拓也（2015）「北海道方言における「逆使役構文」に関する認知的考察」『日本認知言語学会論文集』15 ,journal,井上拓也,2015,北海道方言における「逆使役構文」に関する認知的考察,日本認知言語学会論文集,,,15,,,,,,,北海道方言.xlsx,北海道方言（雑誌論文）,
ダリン・トーマス（2016）「北海道方言の韻律的な特徴に関する記述的研究 : 北海道方言の名詞アクセントについて」『研究論集』15 ,journal,ダリン・トーマス,2016,北海道方言の韻律的な特徴に関する記述的研究 : 北海道方言の名詞アクセントについて,研究論集,,,15,,,,,,,北海道方言.xlsx,北海道方言（雑誌論文）,
大川歩美（2016）「「北海道方言らしさ」を生む表現(二〇一五年度卒業論文要旨集)」『札幌国語研究』21 ,journal,大川歩美,2016,「北海道方言らしさ」を生む表現(二〇一五年度卒業論文要旨集),札幌国語研究,,,21,,,,,,,北海道方言.xlsx,北海道方言（雑誌論文）,
氏家啓吾（2016）「北海道方言-rasar構文の表す捉え方 : 認知文法の視点から」『東京大学言語学論集』37 ,journal,氏家啓吾,2016,北海道方言-rasar構文の表す捉え方 : 認知文法の視点から,東京大学言語学論集,,,37,,,,,,,北海道方言.xlsx,北海道方言（雑誌論文）,
橋本邦彦（2016）「渡島半島東岸部旧椴法華村の漁業方言語彙について : 西岸部せたな町との比較の視点から」『北海道言語文化研究』14 ,journal,橋本邦彦,2016,渡島半島東岸部旧椴法華村の漁業方言語彙について : 西岸部せたな町との比較の視点から,北海道言語文化研究,,,14,,,,,,,北海道方言.xlsx,北海道方言（雑誌論文）,
橋本邦彦（2017）「渡島半島東岸部椴法華村と西岸部せたな町の漁業方言語彙の比較について」『北海道言語文化研究』15 ,journal,橋本邦彦,2017,渡島半島東岸部椴法華村と西岸部せたな町の漁業方言語彙の比較について,北海道言語文化研究,,,15,,,,,,,北海道方言.xlsx,北海道方言（雑誌論文）,
島田武（2017）「北海道道南方言における入りわたり鼻音に先行される子音について」『実験音声学・言語学研究』9 ,journal,島田武,2017,北海道道南方言における入りわたり鼻音に先行される子音について,実験音声学・言語学研究,,,9,,,道南,道南,,,北海道方言.xlsx,北海道方言（雑誌論文）,
朝日祥之（2018）「北海道方言の録音資料の資源化と課題 : 北見市常呂町調査を事例に (例会発表 第219回例会研究発表(2017.1.29))」『北海道方言研究会会報』94 ,journal,朝日祥之,2018,北海道方言の録音資料の資源化と課題 : 北見市常呂町調査を事例に (例会発表 第219回例会研究発表(2017.1.29)),北海道方言研究会会報,,,94,,,,,,,北海道方言.xlsx,北海道方言（雑誌論文）,
ダリン・トーマス（2018）「北海道共通語の音調 (例会発表 第219回例会研究発表(2017.1.29))」『北海道方言研究会会報』94 ,journal,ダリン・トーマス,2018,北海道共通語の音調 (例会発表 第219回例会研究発表(2017.1.29)),北海道方言研究会会報,,,94,,,,,,,北海道方言.xlsx,北海道方言（雑誌論文）,
見野久幸（2018）「今北海道方言は?(4)地理的・年齢的勢力分布と動態 (例会発表 第221回例会研究発表(2017.9.10))」『北海道方言研究会会報』94 ,journal,見野久幸,2018,今北海道方言は?(4)地理的・年齢的勢力分布と動態 (例会発表 第221回例会研究発表(2017.9.10)),北海道方言研究会会報,,,94,,,,,,,北海道方言.xlsx,北海道方言（雑誌論文）,
"関根雅晴（2019）「北海道方言における""V-(r)asar-""構文の意味に関する記述的研究 : 認知文法からのアプローチ」『言語科学論集（京都大学）』25 ",journal,関根雅晴,2019,"北海道方言における""V-(r)asar-""構文の意味に関する記述的研究 : 認知文法からのアプローチ",言語科学論集（京都大学）,,,25,,,,,,,北海道方言.xlsx,北海道方言（雑誌論文）,
秀舞子（2019）「北海道方言における自発の助動詞サルの使用実態 : 主に世代差・男女差について」『藤女子大学国文学雑誌』101 ,journal,秀舞子,2019,北海道方言における自発の助動詞サルの使用実態 : 主に世代差・男女差について,藤女子大学国文学雑誌,,,101,,,,,,,北海道方言.xlsx,北海道方言（雑誌論文）,
ダリン・トーマス（2019）「北海道方言アクセントの共通語化プロセスについて (例会発表 第222回例会研究発表(2018.1.28))」『北海道方言研究会会報』95 ,journal,ダリン・トーマス,2019,北海道方言アクセントの共通語化プロセスについて (例会発表 第222回例会研究発表(2018.1.28)),北海道方言研究会会報,,,95,,,,,,,北海道方言.xlsx,北海道方言（雑誌論文）,
朝日祥之（2019）「北海道北見市常呂町における言語変容 : 土佐地区と岐阜地区居住者を対象として (例会発表 第222回例会研究発表(2018.1.28))」『北海道方言研究会会報』95 ,journal,朝日祥之,2019,北海道北見市常呂町における言語変容 : 土佐地区と岐阜地区居住者を対象として (例会発表 第222回例会研究発表(2018.1.28)),北海道方言研究会会報,,,95,,,,,,,北海道方言.xlsx,北海道方言（雑誌論文）,
佐々木冠（2019）「2017年度札幌若年層調査報告 (例会発表 第223回例会研究発表(2018.4.15))」『北海道方言研究会会報』95 ,journal,佐々木冠,2019,2017年度札幌若年層調査報告 (例会発表 第223回例会研究発表(2018.4.15)),北海道方言研究会会報,,,95,,,,,,,北海道方言.xlsx,北海道方言（雑誌論文）,
高野駿（2019）「北海道における当為表現 : 脱落形に着目して (例会発表 第222回例会研究発表(2018.1.28))」『北海道方言研究会会報』95 ,journal,高野駿,2019,北海道における当為表現 : 脱落形に着目して (例会発表 第222回例会研究発表(2018.1.28)),北海道方言研究会会報,,,95,,,,,,,北海道方言.xlsx,北海道方言（雑誌論文）,
見野久幸（2020）「北海道余市町の高齢者での日常生活語の現況 : 豊浜地区と本町地区との比較 (例会発表 第225回例会研究発表(2019.1.27))」『北海道方言研究会会報』96 ,journal,見野久幸,2020,北海道余市町の高齢者での日常生活語の現況 : 豊浜地区と本町地区との比較 (例会発表 第225回例会研究発表(2019.1.27)),北海道方言研究会会報,,,96,,,,,,,北海道方言.xlsx,北海道方言（雑誌論文）,
朝日祥之（2020）「北見市常呂町岐阜における敬語法について (例会発表 第225回例会研究発表(2019.1.27))」『北海道方言研究会会報』96 ,journal,朝日祥之,2020,北見市常呂町岐阜における敬語法について (例会発表 第225回例会研究発表(2019.1.27)),北海道方言研究会会報,,,96,,,,,,,北海道方言.xlsx,北海道方言（雑誌論文）,
朝日祥之ほか（2020）「北海道における方言使用の現状と実時間変化(その6) (例会発表 第227回例会研究発表(2019.9.8))」『北海道方言研究会会報』96 ,journal,朝日祥之ほか,2020,北海道における方言使用の現状と実時間変化(その6) (例会発表 第227回例会研究発表(2019.9.8)),北海道方言研究会会報,,,96,,,,,,,北海道方言.xlsx,北海道方言（雑誌論文）,
見野久幸（2020）「小樽市高島に残存する新潟方言 : 北蒲原郡からの移住子孫の談話より (例会発表 第227回例会研究発表(2019.9.8))」『北海道方言研究会会報』96 ,journal,見野久幸,2020,小樽市高島に残存する新潟方言 : 北蒲原郡からの移住子孫の談話より (例会発表 第227回例会研究発表(2019.9.8)),北海道方言研究会会報,,,96,,,,,,,北海道方言.xlsx,北海道方言（雑誌論文）,
"Matsuura, Toshio（2019）「On sentence-final particle sa in Hokkaido Japanese」『Japanese/Korean Linguistics』25 ",journal,"Matsuura, Toshio",2019,On sentence-final particle sa in Hokkaido Japanese,Japanese/Korean Linguistics,,,25,,,,,,,北海道方言.xlsx,北海道方言（雑誌論文）,
島田武（2004）「椴法華(とどほっけ)における言語と風習について」『室蘭認知科学研究会 第44回大会プロシーディングズ』,journal,島田武,2004,椴法華(とどほっけ)における言語と風習について,室蘭認知科学研究会 第44回大会プロシーディングズ,,,,,,椴法華,椴法華,,,北海道方言.xlsx,北海道方言（雑誌論文）,
島田武（2003）「椴法華方言の中舌母音について」『認知科学研究』2 ,journal,島田武,2003,椴法華方言の中舌母音について,認知科学研究,,,2,,,椴法華,椴法華,,,北海道方言.xlsx,北海道方言（雑誌論文）,
橋本邦彦ほか（2013）「戦争前後の椴法華村の暮らし (特集 椴法華の方言調査)」『北海道言語文化研究』11 ,journal,橋本邦彦ほか,2013,戦争前後の椴法華村の暮らし (特集 椴法華の方言調査),北海道言語文化研究,,,11,,,椴法華,椴法華,,,北海道方言.xlsx,北海道方言（雑誌論文）,
島田武ほか（2004）「椴法華(とどほっけ)における言語と風習--失われゆく伝統(3)」『室蘭工業大学紀要』54 ,journal,島田武ほか,2004,椴法華(とどほっけ)における言語と風習--失われゆく伝統(3),室蘭工業大学紀要,,,54,,,椴法華,椴法華,,,北海道方言.xlsx,北海道方言（雑誌論文）,
島田武ほか（2003）「椴法華(とどほっけ)における言語と風習--失われゆく伝統(2)」『室蘭工業大学紀要』53 ,journal,島田武ほか,2003,椴法華(とどほっけ)における言語と風習--失われゆく伝統(2),室蘭工業大学紀要,,,53,,,椴法華,椴法華,,,北海道方言.xlsx,北海道方言（雑誌論文）,
島田武ほか（2001）「椴法華(とどほっけ)における言語と風習--失われゆく伝統」『室蘭工業大学紀要』51 ,journal,島田武ほか,2001,椴法華(とどほっけ)における言語と風習--失われゆく伝統,室蘭工業大学紀要,,,51,,,椴法華,椴法華,,,北海道方言.xlsx,北海道方言（雑誌論文）,
尾崎喜光（1987）「社会言語学的アプローチから見る札幌市のアクセントの変遷 : 名詞編」『大阪大学日本学報』6 ,journal,尾崎喜光,1987,社会言語学的アプローチから見る札幌市のアクセントの変遷 : 名詞編,大阪大学日本学報,,,6,,,札幌市,札幌市,,,北海道方言.xlsx,北海道方言（雑誌論文）,
尾崎喜光（1989）「社会言語学的アプローチから見る札幌市のアクセントの変遷 : 名詞編 (2)」『大阪大学日本学報』8 ,journal,尾崎喜光,1989,社会言語学的アプローチから見る札幌市のアクセントの変遷 : 名詞編 (2),大阪大学日本学報,,,8,,,札幌市,札幌市,,,北海道方言.xlsx,北海道方言（雑誌論文）,
大西拓一郎（2019）「方言から考える動詞否定辞中止形」『日本語文法』19(2) ,journal,大西拓一郎,2019,方言から考える動詞否定辞中止形,日本語文法,,,19(2),,,,,,,北海道方言.xlsx,北海道方言（雑誌論文）,
橋本邦彦（2017）「渡島半島東岸部と西岸部における魚名方言語彙の比較」『室蘭工業大学紀要』66 ,journal,橋本邦彦,2017,渡島半島東岸部と西岸部における魚名方言語彙の比較,室蘭工業大学紀要,,,66,,,,,,,北海道方言.xlsx,北海道方言（雑誌論文）,
山本空（2016）「方言談話における対称詞の使用量の地域差」『国文学』100 ,journal,山本空,2016,方言談話における対称詞の使用量の地域差,国文学,,,100,,,,,,,北海道方言.xlsx,北海道方言（雑誌論文）,
橋本邦彦（2016）「渡島半島西岸部せたな町の漁業方言語彙 : 東岸部旧椴法華村との比較の視点から」『室蘭工業大学紀要』65 ,journal,橋本邦彦,2016,渡島半島西岸部せたな町の漁業方言語彙 : 東岸部旧椴法華村との比較の視点から,室蘭工業大学紀要,,,65,,,,,,,北海道方言.xlsx,北海道方言（雑誌論文）,
小笠原文次郎（1937）『南方北海道方言の概観』（https://ci.nii.ac.jp/ncid/BN12912728）,book,小笠原文次郎,1937,南方北海道方言の概観,,,,,,https://ci.nii.ac.jp/ncid/BN12912728,,,,,北海道方言.xlsx,北海道方言（書籍）,
五十嵐三郎（1954）『北海道方言調査』（https://ci.nii.ac.jp/ncid/BN12002836）,book,五十嵐三郎,1954,北海道方言調査,,,,,,https://ci.nii.ac.jp/ncid/BN12002836,,,,,北海道方言.xlsx,北海道方言（書籍）,
渡辺茂（1955）『北海道方言集』（https://ci.nii.ac.jp/ncid/BN05573065）,book,渡辺茂,1955,北海道方言集,,,,,,https://ci.nii.ac.jp/ncid/BN05573065,,,,,北海道方言.xlsx,北海道方言（書籍）,
北海道新聞社（1970）『ほっかいどう語』（https://ci.nii.ac.jp/ncid/BN00585169）,book,北海道新聞社,1970,ほっかいどう語,,,,,,https://ci.nii.ac.jp/ncid/BN00585169,,,,,北海道方言.xlsx,北海道方言（書籍）,
石垣福雄（1976）『日本語と北海道方言』（https://ci.nii.ac.jp/ncid/BN00577193）,book,石垣福雄,1976,日本語と北海道方言,,,,,,https://ci.nii.ac.jp/ncid/BN00577193,,,,,北海道方言.xlsx,北海道方言（書籍）,
渡辺茂（1976）『北海道方言集』（https://ci.nii.ac.jp/ncid/BN03916648）,book,渡辺茂,1976,北海道方言集,,,,,,https://ci.nii.ac.jp/ncid/BN03916648,,,,,北海道方言.xlsx,北海道方言（書籍）,
北海道方言研究会（1978）『北海道方言研究会叢書』（https://ci.nii.ac.jp/ncid/BN03166344）,book,北海道方言研究会,1978,北海道方言研究会叢書,,,,,,https://ci.nii.ac.jp/ncid/BN03166344,,,,,北海道方言.xlsx,北海道方言（書籍）,
北海道方言研究会（1978）『共通語化の実態 : 北海道増毛町における3地点全数調査』（https://ci.nii.ac.jp/ncid/BN09512335）,book,北海道方言研究会,1978,共通語化の実態 : 北海道増毛町における3地点全数調査,,,,,,https://ci.nii.ac.jp/ncid/BN09512335,,,,,北海道方言.xlsx,北海道方言（書籍）,
北海道方言研究会（1980）『松前のことば : 北海道松前町における共通語化』（https://ci.nii.ac.jp/ncid/BN03870117）,book,北海道方言研究会,1980,松前のことば : 北海道松前町における共通語化,,,,,,https://ci.nii.ac.jp/ncid/BN03870117,,,,,北海道方言.xlsx,北海道方言（書籍）,
北海道方言研究会（1981）『北海道のことば : 五十嵐三郎先生古稀祝賀記念論文集』（https://ci.nii.ac.jp/ncid/BN03166377）,book,北海道方言研究会,1981,北海道のことば : 五十嵐三郎先生古稀祝賀記念論文集,,,,,,https://ci.nii.ac.jp/ncid/BN03166377,,,,,北海道方言.xlsx,北海道方言（書籍）,
石垣福雄（1983）『北海道方言辞典』（https://ci.nii.ac.jp/ncid/BN00555940）,book,石垣福雄,1983,北海道方言辞典,,,,,,https://ci.nii.ac.jp/ncid/BN00555940,,,,,北海道方言.xlsx,北海道方言（書籍）,
小野米一（1987）『おばんでした : 北海道方言の旅』（https://ci.nii.ac.jp/ncid/BN02071457）,book,小野米一,1987,おばんでした : 北海道方言の旅,,,,,,https://ci.nii.ac.jp/ncid/BN02071457,,,,,北海道方言.xlsx,北海道方言（書籍）,
川内谷繁三（1991）『道南方言の研究 : 生業語彙を中心にして』（https://ci.nii.ac.jp/ncid/BN08936595）,book,川内谷繁三,1991,道南方言の研究 : 生業語彙を中心にして,,,,,,https://ci.nii.ac.jp/ncid/BN08936595,,,,,北海道方言.xlsx,北海道方言（書籍）,
